The table below is a cross-reference of creature animation files (BAMs) to sound clips
(WAVCs) and their tables (2DAs). A table generally exists only if more than one animation
does not share the same prefix. The Code is the hexadecimal number that designates the
animation in the creature file (CRE). The Archive is the Infinity Animations archive on
shsforums.net that contains the animations and/or sounds. If an archive isn't listed, the
animation should be in Baldur's Gate II by default.

If a 2DA does not exist, the installer assigns the sounds directly on the affected
creature files. Generally speaking, numbers after the prefix in sound files indicate
the following slots, though there are numerous exceptions.

01     BATTLE_CRY
02     SELECT
03-06  ATTACK
07-08  DAMAGE
09-10  DYING

AnimPrefix  2DA?  Code    Animation                     SndPrefix     Archive
udrz        N     0x6400  drizzt                        drizzt        -
uelm        N     0x6401  elminster                     elmin         -
usar        N     0x6404  sarevok                       sarevo        -
uvol        N     0x2100  volo                          voloo         -
webe        N     0x0800  web_travel                    -             -
webe        N     0x0810  web_static                    -             -
xdmc        N     0x6414  l_cleric_male_dwarf           -             IA_Base_Anims
xdmc        N     0x6415  l_cleric_female_dwarf         -             IA_Base_Anims
xdmf        N     0x6424  l_fighter_male_dwarf          -             IA_Base_Anims
xdmf        N     0x6425  l_fighter_female_dwarf        -             IA_Base_Anims
xdmt        N     0x6444  l_thief_male_dwarf            -             IA_Base_Anims
xdmt        N     0x6445  l_thief_female_dwarf          -             IA_Base_Anims
xdmw        N     0x6434  l_mage_male_dwarf             -             IA_Base_Anims
xdmw        N     0x6435  l_mage_female_dwarf           -             IA_Base_Anims
xefc        N     0x6413  l_cleric_female_elf           -             IA_Base_Anims
xeff        N     0x6423  l_fighter_female_elf          -             IA_Base_Anims
xeft        N     0x6443  l_thief_female_elf            -             IA_Base_Anims
xefw        N     0x6433  l_mage_female_elf             -             IA_Base_Anims
xemc        N     0x6412  l_cleric_male_elf             -             IA_Base_Anims
xemf        N     0x6422  l_fighter_male_elf            -             IA_Base_Anims
xemt        N     0x6442  l_thief_male_elf              -             IA_Base_Anims
xemw        N     0x6432  l_mage_male_elf               -             IA_Base_Anims
xhfc        N     0x6411  l_cleric_female_human         -             IA_Base_Anims
xhff        N     0x6421  l_fighter_female_human        -             IA_Base_Anims
xhft        N     0x6441  l_thief_female_human          -             IA_Base_Anims
xhfw        N     0x6431  l_mage_female_human           -             IA_Base_Anims
xhmc        N     0x6410  l_cleric_male_human           -             IA_Base_Anims
xhmf        N     0x6420  l_fighter_male_human          -             IA_Base_Anims
xhmt        N     0x6440  l_thief_male_human            -             IA_Base_Anims
xhmw        N     0x6430  l_mage_male_human             -             IA_Base_Anims
xifc        N     0x6417  l_cleric_female_halfling      -             IA_Base_Anims
xiff        N     0x6427  l_fighter_female_halfling     -             IA_Base_Anims
xift        N     0x6447  l_thief_female_halfling       -             IA_Base_Anims
ximc        N     0x6416  l_cleric_male_halfling        -             IA_Base_Anims
ximf        N     0x6426  l_fighter_male_halfling       -             IA_Base_Anims
ximt        N     0x6446  l_thief_male_halfling         -             IA_Base_Anims
